id,parent id,block type,proposal timestamp,finalization timestamp,depth,finalized,transactions
57219,3e041,tree,682.3845188532979,None,181,False,23e0bcf57e;418e930445;6fa543de3f;16bc5187b9;1a26b6ba67
8242d,57219,tree,686.545132236079,None,182,False,ba0e08a207;951a30214d;c5de00fcbb;1c59efa83f;305466850f
beea6,8242d,tree,690.8283589244461,None,183,False,429da36e90;0b1ad4b7f8;c6e43c7cc5
9f095,8242d,tree,694.084655395586,None,183,False,429da36e90;0b1ad4b7f8;c6e43c7cc5
41213,8242d,tree,694.4883954154905,None,183,False,429da36e90;0b1ad4b7f8;c6e43c7cc5
9ec1a,beea6,tree,695.5680403864442,None,184,False,9836eeda35
e8ce3,9ec1a,tree,704.0783282493704,None,185,False,fc3dacebfd;a6f80cdeb7;9812067551;6b7bd32bf9;3bdf4a4dd3;310f274d1c;ac8348c4ba;d62c295adb;d0311ecf7f;88127e40c5;9ed619a1c5;cc4fb2065d;7f16c6c0fe;dbfdc81c95
53223,9ec1a,tree,704.2031768764872,None,185,False,fc3dacebfd;a6f80cdeb7;9812067551;6b7bd32bf9;3bdf4a4dd3;310f274d1c;ac8348c4ba;d62c295adb;d0311ecf7f;88127e40c5;9ed619a1c5;cc4fb2065d;7f16c6c0fe;dbfdc81c95
b6b87,e8ce3,tree,706.5105360795118,None,186,False,
8743d,b6b87,tree,708.1990642299,None,187,False,12e277d906;c6645815b5;ae783b217f
eb967,8743d,tree,710.7577507593264,None,188,False,64bb9284c3
37a1f,eb967,tree,716.1736951269253,None,189,False,ce4ad32410;ee6b2b5006;838e08570e;d85a01a8a7
e712a,37a1f,tree,717.7007522449925,None,190,False,1ef4accd5c;36b7dab8ea
1436c,e712a,tree,719.9811093144712,None,191,False,
202cf,1436c,tree,724.2531350701532,None,192,False,27721412d4
1bb85,1436c,tree,725.4737857961294,None,192,False,27721412d4
205ee,202cf,tree,730.7444068532219,None,193,False,2e022f4bf2;c75adf8451;6d71dec845;0c6db4c31b;70e6e046df;879bd8d3db;4ac234cd21;4cc7b36a24
93a04,205ee,tree,734.1613786891527,None,194,False,ffac390a74;ee0625a2c6;b791a27014;1f4165e11b;304491f050;12a3e6cd80
6228d,205ee,tree,737.1675624725852,None,194,False,ffac390a74;ee0625a2c6;b791a27014;1f4165e11b;304491f050;12a3e6cd80
f6c7e,93a04,tree,744.5413392816264,None,195,False,442b2c5736;d588f59f0d;e3197c7e1f;663b5b343f;ac7ef8b8a7;a0e3eb65e8;958c9eb780;2be26fe2c4;379000ef8c;97c771d9f2;37df472a84;0c8ba288f2;ae9e70c67f;caa43f5647
a5265,f6c7e,tree,749.0843434964203,None,196,False,41b748e2fd;1456dcd691;faba72a7f7;7c0ef8b262;b879c8f810
0cc07,f6c7e,tree,749.1250783930678,None,196,False,41b748e2fd;1456dcd691;faba72a7f7;7c0ef8b262;b879c8f810
